timestamp,tagID,pos_x,pos_y,pos_z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,accelerometro,ax,ay,az,giroscopio,gx,gy,gz,magnetometro,mx,my,mz
21:23.0,bleT2,-,-,-,0,4,bleA2,-63,bleA4,-76,bleA5,-60,bleA6,-66,A,-220.576,-1171.017,-36.905,G,-27090,4830,0,M,-685.5,79.5,-321,,
21:23.1,bleT2,-,-,-,0,5,bleA2,-53,bleA4,-67,bleA3,-58,bleA5,-68,bleA6,-67,A,124.44,-955.26,247.904,G,11620,30240,-15960,M,-696,90,-328.5
21:23.2,bleT2,-,-,-,0,5,bleA4,-89,bleA5,-63,bleA6,-69,bleA2,-60,bleA3,-54,A,-31.11,-1052.067,-37.515,G,3150,21910,16940,M,-690,85.5,-309
21:23.3,bleT2,-,-,-,0,5,bleA2,-56,bleA4,-65,bleA3,-62,bleA5,-61,bleA6,-68,A,35.197,-954.528,108.092,G,23450,18550,12320,M,-708,81,-303
21:23.4,bleT2,-,-,-,0,5,bleA6,-70,bleA2,-68,bleA4,-75,bleA3,-55,bleA5,-75,A,5.063,-937.326,134.017,G,-1470,23030,-6230,M,-702,76.5,-312
21:23.5,bleT2,-,-,-,0,4,bleA2,-58,bleA3,-65,bleA6,-68,bleA4,-68,A,170.251,-1085.251,290.238,G,30730,80920,210,M,-702,72,-291,,
21:23.6,bleT2,-,-,-,0,5,bleA6,-67,bleA3,-62,bleA2,-68,bleA4,-66,bleA5,-61,A,-40.321,-949.343,-295.24,G,-17430,15750,-17850,M,-715.5,70.5,-249
21:23.7,bleT2,-,-,-,0,5,bleA2,-56,bleA4,-67,bleA3,-57,bleA6,-77,bleA5,-72,A,253.638,-854.915,214.72,G,-980,1750,2800,M,-708,85.5,-262.5
21:23.8,bleT2,-,-,-,0,5,bleA5,-59,bleA6,-71,bleA2,-60,bleA3,-64,bleA4,-72,A,84.668,-903.288,206.912,G,6160,-770,39270,M,-709.5,66,-261
21:23.9,bleT2,-,-,-,0,5,bleA5,-65,bleA4,-79,bleA3,-56,bleA2,-56,bleA6,-74,A,145.668,-1073.173,56.852,G,-3150,5880,280,M,-705,63,-261
21:24.0,bleT2,-,-,-,0,5,bleA6,-66,bleA2,-66,bleA4,-66,bleA3,-66,bleA5,-61,A,73.017,-975.085,154.818,G,5250,1750,-3080,M,-711,66,-258
21:24.2,bleT2,-,-,-,0,5,bleA2,-56,bleA4,-72,bleA3,-56,bleA5,-66,bleA6,-76,A,1.891,-1000.156,59.719,G,14350,-4900,8050,M,-700.5,58.5,-252
21:24.3,bleT2,-,-,-,0,5,bleA4,-66,bleA5,-63,bleA6,-66,bleA2,-65,bleA3,-70,A,79.971,-1009.611,-13.908,G,6790,-8190,-1960,M,-705,64.5,-250.5
