timestamp,tagID,pos_x,pos_y,pos_z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,accelerometro,ax,ay,az,giroscopio,gx,gy,gz,magnetometro,mx,my,mz
25:15.3,bleT2,-,-,-,0,5,bleA4,-66,bleA5,-60,bleA6,-76,bleA3,-56,bleA2,-53,A,812.032,-80.398,-301.096,G,-21700,16310,-18830,M,-259.5,559.5,-93,
25:15.5,bleT2,-,-,-,0,4,bleA3,-59,bleA2,-49,bleA5,-74,bleA4,-72,,,A,878.644,-9.455,-358.619,G,-6230,-10990,350,M,-252,564,-97.5,
25:15.6,bleT2,-,-,-,0,5,bleA3,-55,bleA4,-66,bleA6,-69,bleA5,-63,bleA2,-56,A,867.054,-117.852,-349.286,G,4130,-4550,-6580,M,-253.5,571.5,-79.5,
25:15.7,bleT2,-,-,-,0,4,bleA5,-67,bleA4,-68,bleA6,-66,bleA3,-60,,,A,965.63,-53.802,-497.638,G,12390,-10850,-9240,M,-246,573,-78,
25:15.8,bleT2,-,-,-,0,5,bleA3,-65,bleA2,-55,bleA4,-65,bleA5,-75,bleA6,-64,A,1054.812,-90.585,-438.285,G,22960,-19670,4410,M,-244.5,567,-70.5,
25:15.9,bleT2,-,-,-,0,5,bleA4,-63,bleA5,-74,bleA6,-65,bleA3,-59,bleA2,-54,A,927.566,-7.991,-545.828,G,33810,6020,-14350,M,-234,556.5,-58.5,
25:16.0,bleT2,-,-,-,0,5,bleA4,-67,bleA5,-63,bleA6,-67,bleA3,-62,bleA2,-53,A,782.508,26.962,-434.381,G,32340,25900,-4970,M,-226.5,552,-63,
25:16.1,bleT2,-,-,-,0,4,bleA3,-64,bleA6,-65,bleA4,-60,bleA2,-53,,,A,770.552,-131.821,-481.9,G,10780,3990,-7490,M,-235.5,547.5,-66,
25:16.2,bleT2,-,-,-,0,2,bleA2,-54,bleA5,-64,,,,,,,A,791.109,-63.257,-231.678,G,-1610,4970,-15330,M,-223.5,544.5,-67.5,
25:16.3,bleT2,-,-,-,0,4,bleA5,-62,bleA3,-61,bleA2,-55,bleA4,-62,,,A,885.781,-106.567,-429.989,G,-25550,-4200,8470,M,-232.5,547.5,-57,
25:16.4,bleT2,-,-,-,0,4,bleA3,-55,bleA5,-77,bleA6,-64,bleA4,-60,,,A,864.126,-137.006,-474.641,G,-19250,3710,16940,M,-223.5,549,-67.5,
25:16.5,bleT2,-,-,-,0,4,bleA3,-77,bleA2,-56,bleA4,-63,bleA6,-68,,,A,987.712,-245.098,-357.399,G,-23310,27090,3360,M,-247.5,555,-61.5,
25:16.6,bleT2,-,-,-,0,5,bleA4,-64,bleA6,-70,bleA3,-60,bleA2,-55,bleA5,-60,A,983.198,-53.68,-547.231,G,-24920,-10850,19600,M,-253.5,549,-90,
25:16.7,bleT2,-,-,-,0,5,bleA6,-72,bleA5,-62,bleA3,-72,bleA4,-62,bleA2,-49,A,754.143,66.307,-515.145,G,-19110,38290,19950,M,-261,552,-91.5,
25:16.8,bleT2,-,-,-,0,4,bleA4,-63,bleA6,-73,bleA3,-64,bleA2,-52,,,A,809.104,-8.296,-429.318,G,-16030,-7560,6580,M,-273,544.5,-102,
25:16.9,bleT2,-,-,-,0,4,bleA3,-63,bleA2,-49,bleA4,-65,bleA5,-66,,,A,790.011,-71.065,-312.869,G,-13230,5250,-4620,M,-265.5,553.5,-99,
25:17.0,bleT2,-,-,-,0,3,bleA3,-59,bleA4,-63,bleA6,-69,,,,,A,866.932,-72.834,-421.632,G,1330,-22540,-7770,M,-274.5,553.5,-81,
25:17.1,bleT2,-,-,-,0,5,bleA5,-61,bleA3,-60,bleA2,-51,bleA4,-66,bleA6,-69,A,859.307,-90.036,-397.964,G,20230,-5180,-12110,M,-265.5,553.5,-72,
25:17.2,bleT2,-,-,-,0,5,bleA3,-67,bleA2,-56,bleA4,-66,bleA5,-71,bleA6,-65,A,916.342,-82.228,-430.599,G,37170,3990,-9310,M,-258,546,-73.5,
25:17.3,bleT2,-,-,-,0,5,bleA3,-60,bleA6,-70,bleA2,-57,bleA4,-69,bleA5,-72,A,969.595,-147.742,-351.299,G,45570,-13160,-2310,M,-247.5,547.5,-57,
25:17.4,bleT2,-,-,-,0,5,bleA4,-62,bleA5,-59,bleA6,-71,bleA3,-51,bleA2,-63,A,939.949,-35.99,-554.246,G,50470,-13300,-22820,M,-255,522,-39,
25:17.6,bleT2,-,-,-,0,5,bleA3,-53,bleA2,-60,bleA6,-68,bleA4,-64,bleA5,-62,A,813.069,-23.363,-369.05,G,39270,10080,-10080,M,-241.5,526.5,-42,
25:17.7,bleT2,-,-,-,0,5,bleA3,-56,bleA2,-66,bleA5,-65,bleA6,-71,bleA4,-65,A,799.466,-116.815,-462.197,G,9870,-7840,-4970,M,-237,528,-34.5,
25:17.8,bleT2,-,-,-,0,5,bleA5,-62,bleA3,-66,bleA2,-62,bleA4,-84,bleA6,-66,A,799.1,-96.99,-380.579,G,-8190,-8960,700,M,-217.5,541.5,-33,
25:17.9,bleT2,-,-,-,0,5,bleA6,-78,bleA3,-57,bleA2,-65,bleA4,-60,bleA5,-64,A,868.823,-110.593,-428.83,G,-26040,-9030,6300,M,-231,544.5,-30,
25:18.0,bleT2,-,-,-,0,5,bleA5,-64,bleA3,-65,bleA2,-63,bleA4,-64,bleA6,-72,A,876.692,-57.95,-666.303,G,-48020,-6930,10640,M,-237,531,-33,
25:18.1,bleT2,-,-,-,0,5,bleA4,-61,bleA5,-59,bleA6,-67,bleA3,-60,bleA2,-62,A,831.796,-132.126,-398.818,G,-25690,13160,20160,M,-229.5,546,-40.5,
25:18.2,bleT2,-,-,-,0,5,bleA2,-57,bleA4,-62,bleA5,-59,bleA6,-73,bleA3,-58,A,924.638,-124.257,-650.931,G,-8260,4970,22890,M,-261,547.5,-45,
25:18.3,bleT2,-,-,-,0,5,bleA6,-67,bleA2,-72,bleA3,-57,bleA4,-59,bleA5,-62,A,781.044,-92.293,-368.806,G,-2100,27860,5670,M,-249,559.5,-67.5,
25:18.4,bleT2,-,-,-,0,4,bleA2,-54,bleA3,-65,bleA4,-62,bleA5,-59,,,A,887.428,-104.31,-369.05,G,1960,-11690,-4410,M,-252,561,-73.5,
25:18.5,bleT2,-,-,-,0,5,bleA3,-58,bleA4,-60,bleA5,-66,bleA6,-66,bleA2,-68,A,888.282,-68.93,-402.966,G,-7000,-2870,-11900,M,-247.5,552,-66,
25:18.6,bleT2,-,-,-,0,5,bleA5,-54,bleA3,-65,bleA2,-55,bleA4,-63,bleA6,-82,A,906.521,-92.476,-439.444,G,1820,-6720,-1540,M,-250.5,553.5,-79.5,
25:18.7,bleT2,-,-,-,0,5,bleA3,-57,bleA2,-69,bleA4,-59,bleA6,-67,bleA5,-70,A,897.92,-90.951,-421.998,G,4480,840,-4130,M,-250.5,558,-72,
25:18.8,bleT2,-,-,-,0,5,bleA3,-63,bleA2,-58,bleA4,-62,bleA6,-82,bleA5,-54,A,880.84,-91.927,-413.58,G,5180,-210,-560,M,-249,550.5,-60,
25:18.9,bleT2,-,-,-,0,3,bleA4,-61,bleA6,-67,bleA3,-59,,,,,A,881.938,-100.101,-414.129,G,3290,-3290,-3290,M,-255,549,-64.5,
25:18.9,bleT2,-,-,-,0,2,bleA2,-70,bleA5,-70,,,,,,,A,891.393,-109.068,-415.837,G,2590,-910,-4550,M,-243,558,-54,
25:19.0,bleT2,-,-,-,0,5,bleA5,-54,bleA3,-64,bleA2,-57,bleA4,-62,bleA6,-83,A,900.299,-112.667,-423.584,G,3430,-2380,-2660,M,-247.5,534,-45,
25:19.1,bleT2,-,-,-,0,4,bleA6,-69,bleA4,-61,bleA5,-70,bleA2,-71,,,A,892.735,-103.822,-401.746,G,2870,1610,560,M,-243,546,-52.5,
25:19.2,bleT2,-,-,-,0,5,bleA5,-53,bleA3,-63,bleA2,-57,bleA4,-62,bleA6,-82,A,885.598,-113.948,-402.539,G,980,2100,1750,M,-249,549,-54,
25:19.3,bleT2,-,-,-,0,5,bleA4,-62,bleA5,-68,bleA6,-70,bleA3,-60,bleA2,-73,A,886.086,-118.767,-398.635,G,-280,840,1190,M,-253.5,553.5,-55.5,
25:19.4,bleT2,-,-,-,0,5,bleA3,-62,bleA2,-56,bleA4,-62,bleA5,-54,bleA6,-82,A,888.892,-120.902,-396.073,G,-1610,-1400,70,M,-247.5,552,-48,
25:19.5,bleT2,-,-,-,0,5,bleA4,-63,bleA5,-66,bleA6,-69,bleA3,-61,bleA2,-77,A,883.829,-121.512,-400.16,G,-1610,-840,280,M,-237,547.5,-55.5,
25:19.7,bleT2,-,-,-,0,5,bleA4,-62,bleA5,-54,bleA6,-80,bleA3,-61,bleA2,-56,A,876.509,-129.442,-394.914,G,-490,770,840,M,-238.5,540,-61.5,
25:19.8,bleT2,-,-,-,0,5,bleA3,-61,bleA2,-78,bleA4,-60,bleA5,-66,bleA6,-70,A,873.703,-131.211,-394.853,G,70,2240,70,M,-258,547.5,-57,
25:19.9,bleT2,-,-,-,0,2,bleA4,-62,bleA5,-54,,,,,,,A,873.215,-124.928,-397.171,G,1050,980,-140,M,-247.5,562.5,-61.5,
25:20.0,bleT2,-,-,-,0,4,bleA2,-80,bleA4,-60,bleA6,-70,bleA5,-65,,,A,875.167,-129.381,-388.082,G,210,700,-1330,M,-243,550.5,-60,
25:20.1,bleT2,-,-,-,0,2,bleA2,-63,bleA3,-63,,,,,,,A,881.45,-126.88,-394.975,G,280,-2590,-1750,M,-264,549,-60,
25:20.2,bleT2,-,-,-,0,5,bleA4,-65,bleA5,-65,bleA6,-70,bleA3,-61,bleA2,-81,A,885.293,-124.44,-396.256,G,-210,1120,-1610,M,-244.5,549,-60,
25:20.3,bleT2,-,-,-,0,5,bleA5,-54,bleA3,-61,bleA2,-56,bleA4,-63,bleA6,-77,A,882.121,-122.488,-389.302,G,-210,1470,-1470,M,-243,543,-60,
25:20.4,bleT2,-,-,-,0,5,bleA3,-62,bleA4,-66,bleA6,-71,bleA5,-65,bleA2,-78,A,882.792,-120.414,-389.668,G,-840,-1470,-1820,M,-247.5,553.5,-60,
25:20.5,bleT2,-,-,-,0,3,bleA2,-56,bleA4,-63,bleA5,-59,,,,,A,886.696,-124.623,-392.901,G,-1190,-280,-2940,M,-244.5,556.5,-66,
25:20.6,bleT2,-,-,-,0,5,bleA3,-62,bleA2,-76,bleA4,-60,bleA5,-66,bleA6,-71,A,888.709,-122.244,-394.182,G,-1470,700,-2310,M,-240,547.5,-67.5,
25:20.7,bleT2,-,-,-,0,5,bleA5,-54,bleA6,-76,bleA3,-60,bleA2,-56,bleA4,-63,A,885.842,-120.109,-389.119,G,-1890,770,140,M,-232.5,550.5,-63,
25:20.8,bleT2,-,-,-,0,5,bleA3,-63,bleA2,-74,bleA4,-70,bleA5,-67,bleA6,-65,A,887.184,-117.486,-389.058,G,-4200,-910,1680,M,-241.5,543,-67.5,
25:20.9,bleT2,-,-,-,0,5,bleA5,-54,bleA6,-79,bleA3,-58,bleA2,-57,bleA4,-63,A,878.827,-123.281,-390.827,G,-7210,-2870,2660,M,-241.5,550.5,-58.5,
25:21.0,bleT2,-,-,-,0,5,bleA6,-66,bleA3,-65,bleA2,-73,bleA5,-66,bleA4,-60,A,885.537,-115.412,-382.592,G,-11270,-1050,910,M,-246,558,-67.5,
25:21.1,bleT2,-,-,-,0,5,bleA5,-56,bleA6,-79,bleA3,-57,bleA2,-56,bleA4,-64,A,880.657,-93.147,-365.695,G,-19740,-1890,3640,M,-252,547.5,-70.5,
25:21.2,bleT2,-,-,-,0,5,bleA3,-61,bleA2,-65,bleA4,-60,bleA5,-59,bleA6,-60,A,859.612,-34.343,-361.364,G,-35700,-9170,8260,M,-246,547.5,-60,
25:21.3,bleT2,-,-,-,0,5,bleA5,-61,bleA6,-72,bleA3,-64,bleA2,-54,bleA4,-70,A,863.15,15.677,-345.504,G,-57610,-6580,11830,M,-256.5,558,-72,
25:21.4,bleT2,-,-,-,0,5,bleA3,-64,bleA4,-66,bleA5,-62,bleA6,-76,bleA2,-58,A,979.66,53.375,-377.346,G,-72100,-7070,21070,M,-265.5,571.5,-61.5,
25:21.5,bleT2,-,-,-,0,5,bleA4,-69,bleA5,-65,bleA6,-84,bleA3,-61,bleA2,-52,A,910.852,-1.769,-442.616,G,-73570,6230,29260,M,-279,558,-67.5,
25:21.6,bleT2,-,-,-,0,2,bleA5,-63,bleA2,-51,,,,,,,A,881.45,-58.438,-436.394,G,-43540,-1050,37100,M,-339,571.5,-88.5,
25:21.7,bleT2,-,-,-,0,1,bleA3,-69,,,,,,,,,A,888.648,-6.832,-424.377,G,-57330,-280,44450,M,-303,561,-82.5,
25:21.8,bleT2,-,-,-,0,5,bleA2,-55,bleA4,-71,bleA6,-66,bleA5,-77,bleA3,-61,A,899.079,-16.165,-448.289,G,-32060,-2240,33670,M,-376.5,561,-78,
25:21.9,bleT2,-,-,-,0,5,bleA4,-71,bleA6,-81,bleA3,-73,bleA2,-53,bleA5,-66,A,901.763,-65.453,-425.292,G,-32060,3430,33390,M,-396,561,-87,
25:22.0,bleT2,-,-,-,0,5,bleA5,-65,bleA3,-63,bleA2,-52,bleA4,-65,bleA6,-80,A,854.61,-71.736,-596.214,G,-36330,-24080,14630,M,-415.5,562.5,-72,
25:22.1,bleT2,-,-,-,0,5,bleA4,-66,bleA5,-60,bleA6,-87,bleA3,-69,bleA2,-55,A,871.812,-85.766,-512.827,G,-40600,10360,16800,M,-421.5,565.5,-88.5,
25:22.2,bleT2,-,-,-,0,5,bleA5,-68,bleA3,-59,bleA2,-53,bleA4,-80,bleA6,-69,A,786.412,-105.957,-518.805,G,-48790,7980,30240,M,-430.5,559.5,-88.5,
25:22.3,bleT2,-,-,-,0,4,bleA4,-66,bleA5,-68,bleA3,-62,bleA2,-49,,,A,773.663,-225.334,-377.224,G,-44100,-8190,30170,M,-454.5,556.5,-84,
25:22.4,bleT2,-,-,-,0,5,bleA2,-58,bleA5,-61,bleA4,-81,bleA6,-82,bleA3,-61,A,814.35,-181.597,-448.899,G,-45150,-17850,9100,M,-465,553.5,-69,
25:22.5,bleT2,-,-,-,0,5,bleA3,-63,bleA4,-65,bleA5,-62,bleA6,-82,bleA2,-48,A,859.856,-154.513,-488.671,G,-34720,-350,9590,M,-462,555,-51,
25:22.6,bleT2,-,-,-,0,5,bleA2,-55,bleA4,-63,bleA5,-63,bleA6,-66,bleA3,-57,A,910.913,-155.001,-338.123,G,-27440,18900,1680,M,-478.5,550.5,-64.5,
25:22.7,bleT2,-,-,-,0,5,bleA3,-69,bleA4,-76,bleA5,-67,bleA6,-81,bleA2,-48,A,1039.196,-82.716,-353.068,G,-34020,23520,18970,M,-459,553.5,-58.5,
25:22.8,bleT2,-,-,-,0,5,bleA5,-58,bleA6,-72,bleA3,-63,bleA2,-52,bleA4,-61,A,918.416,-30.561,-625.494,G,-45360,-7280,30660,M,-486,538.5,-54,
25:22.9,bleT2,-,-,-,0,5,bleA4,-76,bleA6,-72,bleA3,-65,bleA2,-52,bleA5,-65,A,821.243,46.055,-418.338,G,-41090,17990,30450,M,-510,534,-61.5,
25:23.0,bleT2,-,-,-,0,5,bleA5,-65,bleA3,-57,bleA2,-49,bleA4,-67,bleA6,-81,A,837.042,71.187,-385.825,G,-34160,13230,21000,M,-522,532.5,-64.5,
25:23.1,bleT2,-,-,-,0,5,bleA4,-65,bleA6,-71,bleA3,-64,bleA2,-54,bleA5,-68,A,827.465,-108.397,-339.099,G,-32340,-5670,-6650,M,-528,526.5,-42,
25:23.2,bleT2,-,-,-,0,4,bleA3,-59,bleA2,-50,bleA4,-68,bleA6,-74,,,A,919.087,-42.09,-361.73,G,-15960,-15890,-4620,M,-522,540,-30,
25:23.3,bleT2,-,-,-,0,5,bleA3,-59,bleA2,-50,bleA4,-61,bleA5,-75,bleA6,-75,A,911.157,-97.295,-325.984,G,5320,-10220,-910,M,-517.5,540,-37.5,
25:23.4,bleT2,-,-,-,0,5,bleA3,-63,bleA2,-48,bleA4,-68,bleA5,-63,bleA6,-74,A,941.291,-40.382,-448.35,G,20790,-10290,-1050,M,-522,537,-21,
25:23.5,bleT2,-,-,-,0,4,bleA6,-79,bleA3,-64,bleA2,-49,bleA5,-60,,,A,899.201,-166.469,-300.791,G,32550,-5250,10430,M,-526.5,534,-21,
25:23.6,bleT2,-,-,-,0,5,bleA5,-65,bleA6,-79,bleA3,-69,bleA2,-52,bleA4,-66,A,937.509,-84.119,-574.193,G,49070,-13510,-15470,M,-540,522,-30,
25:23.7,bleT2,-,-,-,0,4,bleA4,-72,bleA3,-72,bleA2,-57,bleA5,-70,,,A,846.07,-60.695,-470.005,G,45150,19740,-34650,M,-532.5,529.5,-45,
25:23.9,bleT2,-,-,-,0,5,bleA2,-54,bleA4,-68,bleA5,-61,bleA6,-82,bleA3,-75,A,747.555,-73.505,-595.421,G,43190,-2940,-9380,M,-514.5,543,-51,
25:24.0,bleT2,-,-,-,0,5,bleA3,-64,bleA2,-56,bleA4,-70,bleA5,-72,bleA6,-67,A,908.168,-38.064,-555.039,G,17710,51800,-1120,M,-523.5,544.5,-61.5,
25:24.1,bleT2,-,-,-,0,5,bleA2,-54,bleA5,-65,bleA4,-69,bleA6,-71,bleA3,-66,A,450.058,-343.796,-124.989,G,1260,-91840,12320,M,-544.5,553.5,-76.5,
25:24.2,bleT2,-,-,-,0,5,bleA3,-64,bleA2,-52,bleA4,-70,bleA6,-76,bleA5,-67,A,946.232,-151.646,-405.833,G,2520,-28910,210,M,-537,546,-79.5,
25:24.3,bleT2,-,-,-,0,4,bleA3,-71,bleA2,-53,bleA4,-67,bleA5,-77,,,A,923.235,-116.998,-459.513,G,-20860,20020,11900,M,-537,534,-63,
25:24.4,bleT2,-,-,-,0,5,bleA4,-70,bleA5,-67,bleA6,-74,bleA3,-66,bleA2,-52,A,876.875,-111.325,-425.902,G,-33530,27860,15400,M,-547.5,540,-76.5,
25:24.5,bleT2,-,-,-,0,4,bleA3,-66,bleA2,-60,bleA6,-66,bleA4,-68,,,A,844.972,-215.025,-373.564,G,-18340,40180,20160,M,-562.5,541.5,-75,
25:24.6,bleT2,-,-,-,0,5,bleA2,-57,bleA3,-60,bleA6,-77,bleA5,-69,bleA4,-81,A,843.752,-136.823,-340.624,G,-2240,10430,10010,M,-565.5,540,-88.5,
25:24.7,bleT2,-,-,-,0,5,bleA5,-65,bleA3,-63,bleA2,-59,bleA4,-69,bleA6,-65,A,882.67,-147.071,-228.323,G,-3010,-5670,280,M,-573,529.5,-99,
25:24.8,bleT2,-,-,-,0,5,bleA3,-63,bleA2,-59,bleA4,-75,bleA5,-69,bleA6,-74,A,921.893,-158.112,-315.919,G,-10430,-23870,-4200,M,-574.5,534,-75,
25:24.9,bleT2,-,-,-,0,4,bleA3,-64,bleA2,-59,bleA4,-66,bleA5,-74,,,A,929.823,-147.925,-385.764,G,-2450,-3360,-700,M,-567,538.5,-78,
25:25.0,bleT2,-,-,-,0,5,bleA3,-65,bleA2,-60,bleA4,-75,bleA5,-71,bleA6,-71,A,910.608,-155.428,-327.753,G,5460,6230,-140,M,-564,541.5,-88.5,
25:25.1,bleT2,-,-,-,0,5,bleA2,-72,bleA4,-64,bleA5,-66,bleA6,-70,bleA3,-59,A,899.323,-140.361,-308.599,G,6020,490,-980,M,-561,547.5,-79.5,
25:25.2,bleT2,-,-,-,0,5,bleA3,-65,bleA2,-59,bleA4,-76,bleA5,-73,bleA6,-70,A,905.423,-141.947,-303.536,G,3080,280,-1960,M,-565.5,535.5,-81,
25:25.3,bleT2,-,-,-,0,4,bleA4,-64,bleA5,-66,bleA6,-71,bleA3,-60,,,A,912.743,-148.352,-307.928,G,490,-4830,-4340,M,-568.5,537,-84,
25:25.4,bleT2,-,-,-,0,3,bleA6,-71,bleA2,-59,bleA5,-71,,,,,A,925.492,-148.352,-313.845,G,70,-2520,-3640,M,-561,534,-90,
25:25.5,bleT2,-,-,-,0,5,bleA2,-81,bleA4,-65,bleA5,-67,bleA6,-69,bleA3,-60,A,920.185,-150.365,-330.437,G,770,-350,350,M,-552,543,-76.5,
25:25.6,bleT2,-,-,-,0,5,bleA4,-72,bleA6,-72,bleA5,-70,bleA3,-65,bleA2,-59,A,902.007,-145.973,-307.501,G,2240,1120,1120,M,-564,538.5,-82.5,
25:25.7,bleT2,-,-,-,0,5,bleA5,-68,bleA3,-64,bleA2,-60,bleA4,-67,bleA6,-66,A,889.929,-172.691,-287.31,G,490,-630,-910,M,-555,540,-75,
25:25.8,bleT2,-,-,-,0,5,bleA4,-73,bleA5,-69,bleA6,-80,bleA3,-65,bleA2,-57,A,896.212,-165.127,-326.533,G,1050,-3710,-3850,M,-567,549,-78,
25:26.0,bleT2,-,-,-,0,5,bleA5,-69,bleA6,-66,bleA3,-66,bleA2,-59,bleA4,-68,A,893.65,-151.036,-338.367,G,5110,980,-3780,M,-556.5,534,-79.5,
25:26.1,bleT2,-,-,-,0,5,bleA3,-64,bleA2,-54,bleA5,-72,bleA4,-77,bleA6,-71,A,893.589,-162.748,-328.302,G,6580,-840,-4130,M,-559.5,541.5,-76.5,
25:26.2,bleT2,-,-,-,0,5,bleA2,-66,bleA4,-67,bleA6,-69,bleA5,-70,bleA3,-67,A,901.641,-169.641,-322.385,G,3500,-4900,-3570,M,-562.5,540,-87,
25:26.3,bleT2,-,-,-,0,5,bleA3,-64,bleA2,-54,bleA4,-72,bleA5,-78,bleA6,-68,A,915.244,-167.933,-343.552,G,-630,-6790,770,M,-552,540,-91.5,
25:26.4,bleT2,-,-,-,0,4,bleA5,-69,bleA3,-79,bleA2,-58,bleA6,-71,,,A,902.129,-180.011,-335.683,G,-3780,560,5320,M,-562.5,535.5,-85.5,
25:26.5,bleT2,-,-,-,0,5,bleA3,-66,bleA2,-54,bleA4,-72,bleA5,-83,bleA6,-67,A,889.075,-189.466,-341.905,G,-4830,2940,5320,M,-559.5,543,-75,
25:26.6,bleT2,-,-,-,0,5,bleA4,-70,bleA5,-68,bleA6,-71,bleA3,-70,bleA2,-57,A,882.304,-182.573,-346.541,G,-4900,2590,4830,M,-564,529.5,-81,
25:26.7,bleT2,-,-,-,0,5,bleA4,-68,bleA6,-67,bleA3,-68,bleA2,-54,bleA5,-86,A,878.095,-177.815,-342.881,G,-3850,2310,630,M,-571.5,528,-72,
25:26.8,bleT2,-,-,-,0,4,bleA6,-71,bleA5,-68,bleA3,-70,bleA2,-58,,,A,875.289,-166.774,-338.062,G,-1470,-2660,-4550,M,-568.5,534,-73.5,
25:26.9,bleT2,-,-,-,0,5,bleA3,-64,bleA4,-70,bleA5,-80,bleA6,-69,bleA2,-52,A,847.473,-174.399,-400.038,G,8400,-4690,-12530,M,-567,540,-76.5,
25:27.0,bleT2,-,-,-,0,3,bleA2,-56,bleA5,-65,bleA3,-66,,,,,A,826.611,-236.68,-453.474,G,31010,-17780,-17640,M,-552,546,-78,
25:27.0,bleT2,-,-,-,0,2,bleA4,-71,bleA6,-67,,,,,,,A,864.248,-274.256,-421.327,G,49630,-25900,-30590,M,-540,555,-73.5,
25:27.1,bleT2,-,-,-,0,5,bleA3,-66,bleA2,-48,bleA4,-70,bleA6,-84,bleA5,-63,A,909.754,-213.988,-487.695,G,60340,-21560,-31990,M,-513,559.5,-70.5,
25:27.2,bleT2,-,-,-,0,5,bleA5,-64,bleA6,-73,bleA3,-59,bleA2,-52,bleA4,-65,A,823.744,-168.726,-422.73,G,71330,10080,-24080,M,-498,562.5,-90,
25:27.3,bleT2,-,-,-,0,5,bleA3,-63,bleA2,-61,bleA4,-63,bleA6,-72,bleA5,-66,A,909.083,-105.103,-497.211,G,81340,4760,-27090,M,-480,573,-118.5,
25:27.4,bleT2,-,-,-,0,5,bleA5,-62,bleA3,-59,bleA2,-51,bleA4,-69,bleA6,-74,A,861.076,-107.604,-517.951,G,104160,-6300,-40530,M,-438,586.5,-123,
25:27.5,bleT2,-,-,-,0,5,bleA4,-88,bleA5,-66,bleA6,-72,bleA3,-65,bleA2,-60,A,896.395,-27.206,-437.919,G,124040,-6020,-34230,M,-406.5,589.5,-141,
25:27.6,bleT2,-,-,-,0,5,bleA2,-72,bleA4,-70,bleA5,-67,bleA6,-83,bleA3,-66,A,838.384,32.147,-358.558,G,135730,-34790,-58100,M,-358.5,583.5,-115.5,
25:27.7,bleT2,-,-,-,0,5,bleA6,-69,bleA3,-61,bleA2,-66,bleA5,-72,bleA4,-66,A,874.313,33.062,-391.315,G,145390,-26320,-60620,M,-307.5,576,-100.5,
25:27.8,bleT2,-,-,-,0,5,bleA5,-58,bleA6,-70,bleA3,-59,bleA2,-66,bleA4,-63,A,922.381,25.437,-435.296,G,158340,-36540,-76230,M,-267,567,-54,
25:27.9,bleT2,-,-,-,0,5,bleA4,-69,bleA6,-81,bleA3,-61,bleA2,-62,bleA5,-61,A,940.437,113.887,-495.442,G,157850,-65450,-67060,M,-235.5,549,13.5,
25:28.1,bleT2,-,-,-,0,4,bleA5,-60,bleA3,-65,bleA2,-63,bleA4,-71,,,A,890.051,51.972,-521.306,G,143150,-37100,-60480,M,-225,528,75,
25:28.2,bleT2,-,-,-,0,5,bleA3,-56,bleA4,-65,bleA5,-61,bleA6,-66,bleA2,-54,A,820.511,13.603,-419.131,G,116060,1680,-48300,M,-225,508.5,112.5,
25:28.3,bleT2,-,-,-,0,5,bleA2,-62,bleA4,-81,bleA6,-73,bleA5,-64,bleA3,-61,A,914.268,-168.665,-385.703,G,81130,-18410,-52850,M,-228,492,142.5,
25:28.4,bleT2,-,-,-,0,4,bleA4,-65,bleA6,-73,bleA3,-68,bleA2,-71,,,A,947.208,-150.304,-442.982,G,49000,-30940,-49000,M,-237,457.5,183,
25:28.5,bleT2,-,-,-,0,5,bleA2,-58,bleA6,-65,bleA4,-70,bleA5,-56,bleA3,-76,A,926.651,-115.534,-364.231,G,45220,26740,-15610,M,-240,457.5,183,
25:28.6,bleT2,-,-,-,0,4,bleA4,-66,bleA3,-60,bleA2,-64,bleA5,-61,,,A,923.845,-183.427,-308.172,G,10920,560,-4480,M,-249,477,172.5,
25:28.7,bleT2,-,-,-,0,5,bleA2,-55,bleA5,-56,bleA4,-67,bleA6,-81,bleA3,-66,A,967.582,-141.093,-328.607,G,-12530,8960,13790,M,-244.5,483,160.5,
25:28.8,bleT2,-,-,-,0,5,bleA3,-84,bleA2,-61,bleA4,-61,bleA6,-69,bleA5,-60,A,819.23,-30.012,-333.304,G,-17780,15820,8120,M,-241.5,481.5,153,
25:28.9,bleT2,-,-,-,0,5,bleA2,-55,bleA4,-65,bleA5,-58,bleA6,-79,bleA3,-61,A,885.415,-100.955,-227.591,G,-17290,10990,4550,M,-234,487.5,150,
25:29.0,bleT2,-,-,-,0,5,bleA6,-69,bleA3,-62,bleA2,-61,bleA4,-61,bleA5,-63,A,959.469,-66.124,-428.342,G,-22260,-12110,0,M,-241.5,484.5,141,
25:29.1,bleT2,-,-,-,0,5,bleA5,-58,bleA3,-77,bleA2,-52,bleA4,-63,bleA6,-82,A,962.519,-106.872,-260.592,G,-4550,-7560,-7280,M,-225,489,148.5,
25:29.2,bleT2,-,-,-,0,5,bleA3,-60,bleA2,-60,bleA4,-61,bleA5,-64,bleA6,-68,A,974.414,-53.375,-366.915,G,20790,4410,-7210,M,-232.5,486,154.5,
25:29.3,bleT2,-,-,-,0,5,bleA3,-72,bleA2,-54,bleA4,-68,bleA6,-74,bleA5,-60,A,853.146,-149.206,-453.23,G,27790,-5810,-19810,M,-231,468,153,
25:29.4,bleT2,-,-,-,0,5,bleA3,-58,bleA4,-68,bleA5,-66,bleA6,-71,bleA2,-58,A,901.763,-25.559,-199.714,G,35490,4620,4480,M,-238.5,493.5,141,
