timestamp,tagID,pos_x,pos_y,pos_z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,accelerometro,ax,ay,az,giroscopio,gx,gy,gz,magnetometro,mx,my,mz
25:04.9,bleT2,-,-,-,0,4,bleA3,-65,bleA2,-60,bleA4,-84,bleA5,-71,,,A,873.947,-41.175,-382.409,G,-2450,4760,2870,M,-469.5,397.5,216,
25:05.0,bleT2,-,-,-,0,4,bleA4,-79,bleA5,-65,bleA3,-66,bleA2,-61,,,A,883.524,-60.207,-437.004,G,-7770,1260,210,M,-475.5,393,219,
25:05.1,bleT2,-,-,-,0,5,bleA3,-58,bleA2,-64,bleA4,-71,bleA5,-78,bleA6,-82,A,909.022,-90.097,-474.885,G,-21490,3220,5880,M,-456,394.5,220.5,
25:05.2,bleT2,-,-,-,0,4,bleA3,-59,bleA2,-66,bleA4,-71,bleA5,-78,,,A,862.54,-74.298,-408.334,G,-36400,18690,9730,M,-456,406.5,226.5,
25:05.3,bleT2,-,-,-,0,3,bleA3,-58,bleA2,-59,bleA5,-66,,,,,A,919.575,-55.022,-341.478,G,-35980,22330,19670,M,-445.5,396,234,
25:05.4,bleT2,-,-,-,0,4,bleA3,-56,bleA2,-58,bleA4,-71,bleA5,-67,,,A,845.399,4.087,-344.467,G,-46480,-3640,20160,M,-430.5,400.5,232.5,
25:05.5,bleT2,-,-,-,0,4,bleA4,-77,bleA6,-81,bleA3,-51,bleA2,-61,,,A,872.422,-2.44,-344.772,G,-51940,-5110,21420,M,-405,396,241.5,
25:05.6,bleT2,-,-,-,0,3,bleA3,-51,bleA6,-72,bleA4,-72,,,,,A,943.243,70.333,-347.944,G,-67340,-11410,14910,M,-336,378,256.5,
25:05.6,bleT2,-,-,-,0,2,bleA2,-74,bleA5,-82,,,,,,,A,967.46,31.903,-204.35,G,-61600,-70,10500,M,-357,394.5,247.5,
25:05.7,bleT2,-,-,-,0,5,bleA3,-56,bleA4,-80,bleA6,-73,bleA5,-69,bleA2,-70,A,932.324,61.61,-371.856,G,-61180,0,30240,M,-312,385.5,258,
25:05.8,bleT2,-,-,-,0,4,bleA3,-61,bleA2,-64,bleA4,-87,bleA5,-69,,,A,915.549,71.187,-332.267,G,-54740,3710,40320,M,-277.5,379.5,258,
25:05.9,bleT2,-,-,-,0,4,bleA4,-75,bleA5,-67,bleA6,-78,bleA2,-61,,,A,940.864,32.33,-527.284,G,-55580,-39130,46970,M,-265.5,387,249,
25:06.0,bleT2,-,-,-,0,5,bleA5,-66,bleA3,-52,bleA2,-73,bleA4,-72,bleA6,-71,A,907.436,-12.871,-439.627,G,-54460,-9030,43610,M,-258,406.5,234,
25:06.1,bleT2,-,-,-,0,5,bleA3,-56,bleA4,-69,bleA5,-64,bleA6,-81,bleA2,-71,A,887.001,-20.008,-390.705,G,-48090,5390,41930,M,-238.5,408,235.5,
25:06.2,bleT2,-,-,-,0,5,bleA2,-68,bleA4,-70,bleA5,-62,bleA6,-67,bleA3,-49,A,916.342,-75.64,-447.313,G,-63840,-4130,37450,M,-232.5,421.5,229.5,
25:06.3,bleT2,-,-,-,0,5,bleA3,-49,bleA4,-70,bleA5,-81,bleA6,-70,bleA2,-62,A,856.928,-81.618,-538.325,G,-80080,19110,17990,M,-217.5,432,202.5,
25:06.4,bleT2,-,-,-,0,5,bleA5,-66,bleA3,-60,bleA2,-69,bleA4,-70,bleA6,-70,A,852.231,-89.975,-466.589,G,-81200,3570,25130,M,-183,439.5,181.5,
